REF_AREA,Measure,OBS_VALUE,TIME_PERIOD
TCD,Death rate from diabetes (age standardized),28.99,1995
TCD,Death rate from diabetes (age standardized),30.45,1996
TCD,Death rate from diabetes (age standardized),31.64,1997
TCD,Death rate from diabetes (age standardized),32.64,1998
TCD,Death rate from diabetes (age standardized),33.46,1999
TCD,Death rate from diabetes (age standardized),33.98,2000
TCD,Death rate from diabetes (age standardized),34.41,2001
TCD,Death rate from diabetes (age standardized),35.04,2002
TCD,Death rate from diabetes (age standardized),35.55,2003
TCD,Death rate from diabetes (age standardized),35.72,2004
TCD,Death rate from diabetes (age standardized),35.59,2005
TCD,Death rate from diabetes (age standardized),35.68,2006
TCD,Death rate from diabetes (age standardized),35.88,2007
TCD,Death rate from diabetes (age standardized),36.21,2008
TCD,Death rate from diabetes (age standardized),36.36,2009
TCD,Death rate from diabetes (age standardized),36.55,2010
TCD,Death rate from diabetes (age standardized),36.61,2011
TCD,Death rate from diabetes (age standardized),36.48,2012
TCD,Death rate from diabetes (age standardized),36.11,2013
TCD,Death rate from diabetes (age standardized),35.72,2014
TCD,Death rate from diabetes (age standardized),35.4,2015
TCD,Death rate from diabetes (age standardized),35.17,2016
TCD,Death rate from diabetes (age standardized),35.0,2017
TCD,Death rate from diabetes (age standardized),34.98,2018
TCD,Death rate from diabetes (age standardized),34.63,2019
CHL,Death rate from diabetes (age standardized),16.21,1990
CHL,Death rate from diabetes (age standardized),15.99,1991
CHL,Death rate from diabetes (age standardized),16.1,1992
CHL,Death rate from diabetes (age standardized),16.67,1993
CHL,Death rate from diabetes (age standardized),17.11,1994
CHL,Death rate from diabetes (age standardized),17.7,1995
CHL,Death rate from diabetes (age standardized),17.82,1996
CHL,Death rate from diabetes (age standardized),16.78,1997
CHL,Death rate from diabetes (age standardized),16.68,1998
CHL,Death rate from diabetes (age standardized),16.94,1999
CHL,Death rate from diabetes (age standardized),16.88,2000
CHL,Death rate from diabetes (age standardized),17.67,2001
CHL,Death rate from diabetes (age standardized),17.83,2002
CHL,Death rate from diabetes (age standardized),18.37,2003
CHL,Death rate from diabetes (age standardized),18.5,2004
CHL,Death rate from diabetes (age standardized),18.06,2005
CHL,Death rate from diabetes (age standardized),17.57,2006
CHL,Death rate from diabetes (age standardized),17.3,2007
CHL,Death rate from diabetes (age standardized),16.45,2008
CHL,Death rate from diabetes (age standardized),16.58,2009
CHL,Death rate from diabetes (age standardized),16.7,2010
CHL,Death rate from diabetes (age standardized),16.37,2011
CHL,Death rate from diabetes (age standardized),16.16,2012
CHL,Death rate from diabetes (age standardized),16.15,2013
CHL,Death rate from diabetes (age standardized),16.14,2014
CHL,Death rate from diabetes (age standardized),16.34,2015
CHL,Death rate from diabetes (age standardized),16.05,2016
CHL,Death rate from diabetes (age standardized),16.09,2017
CHL,Death rate from diabetes (age standardized),16.05,2018
CHL,Death rate from diabetes (age standardized),15.95,2019
CHN,Death rate from diabetes (age standardized),9.2,1990
CHN,Death rate from diabetes (age standardized),9.02,1991
CHN,Death rate from diabetes (age standardized),8.99,1992
CHN,Death rate from diabetes (age standardized),9.02,1993
CHN,Death rate from diabetes (age standardized),8.98,1994
CHN,Death rate from diabetes (age standardized),8.98,1995
CHN,Death rate from diabetes (age standardized),9.13,1996
CHN,Death rate from diabetes (age standardized),9.23,1997
CHN,Death rate from diabetes (age standardized),9.42,1998
CHN,Death rate from diabetes (age standardized),9.71,1999
CHN,Death rate from diabetes (age standardized),9.95,2000
CHN,Death rate from diabetes (age standardized),10.2,2001
CHN,Death rate from diabetes (age standardized),10.54,2002
CHN,Death rate from diabetes (age standardized),10.74,2003
CHN,Death rate from diabetes (age standardized),11.03,2004
CHN,Death rate from diabetes (age standardized),11.1,2005
CHN,Death rate from diabetes (age standardized),10.45,2006
CHN,Death rate from diabetes (age standardized),10.04,2007
CHN,Death rate from diabetes (age standardized),9.88,2008
CHN,Death rate from diabetes (age standardized),9.85,2009
CHN,Death rate from diabetes (age standardized),9.88,2010
CHN,Death rate from diabetes (age standardized),9.79,2011
CHN,Death rate from diabetes (age standardized),9.62,2012
CHN,Death rate from diabetes (age standardized),9.54,2013
CHN,Death rate from diabetes (age standardized),9.53,2014
CHN,Death rate from diabetes (age standardized),9.45,2015
CHN,Death rate from diabetes (age standardized),9.52,2016
CHN,Death rate from diabetes (age standardized),9.51,2017
CHN,Death rate from diabetes (age standardized),9.46,2018
CHN,Death rate from diabetes (age standardized),9.44,2019
COL,Death rate from diabetes (age standardized),20.51,1990
COL,Death rate from diabetes (age standardized),21.38,1991
COL,Death rate from diabetes (age standardized),21.76,1992
COL,Death rate from diabetes (age standardized),21.88,1993
COL,Death rate from diabetes (age standardized),22.33,1994
COL,Death rate from diabetes (age standardized),22.54,1995
COL,Death rate from diabetes (age standardized),23.02,1996
COL,Death rate from diabetes (age standardized),22.07,1997
COL,Death rate from diabetes (age standardized),21.92,1998
COL,Death rate from diabetes (age standardized),22.59,1999
COL,Death rate from diabetes (age standardized),22.47,2000
COL,Death rate from diabetes (age standardized),22.16,2001
COL,Death rate from diabetes (age standardized),23.4,2002
COL,Death rate from diabetes (age standardized),21.78,2003
COL,Death rate from diabetes (age standardized),20.75,2004
COL,Death rate from diabetes (age standardized),19.13,2005
COL,Death rate from diabetes (age standardized),18.45,2006
COL,Death rate from diabetes (age standardized),17.1,2007
COL,Death rate from diabetes (age standardized),16.31,2008
COL,Death rate from diabetes (age standardized),15.64,2009
COL,Death rate from diabetes (age standardized),14.78,2010
COL,Death rate from diabetes (age standardized),13.66,2011
COL,Death rate from diabetes (age standardized),13.13,2012
COL,Death rate from diabetes (age standardized),12.61,2013
COL,Death rate from diabetes (age standardized),12.33,2014
COL,Death rate from diabetes (age standardized),12.45,2015
COL,Death rate from diabetes (age standardized),12.69,2016
COL,Death rate from diabetes (age standardized),12.74,2017
COL,Death rate from diabetes (age standardized),12.98,2018
COL,Death rate from diabetes (age standardized),13.11,2019
COM,Death rate from diabetes (age standardized),39.29,1990
COM,Death rate from diabetes (age standardized),38.99,1991
COM,Death rate from diabetes (age standardized),39.87,1992
COM,Death rate from diabetes (age standardized),39.98,1993
COM,Death rate from diabetes (age standardized),40.59,1994
COM,Death rate from diabetes (age standardized),40.93,1995
COM,Death rate from diabetes (age standardized),41.11,1996
COM,Death rate from diabetes (age standardized),41.11,1997
COM,Death rate from diabetes (age standardized),40.4,1998
COM,Death rate from diabetes (age standardized),39.92,1999
COM,Death rate from diabetes (age standardized),40.31,2000
COM,Death rate from diabetes (age standardized),39.84,2001
COM,Death rate from diabetes (age standardized),39.35,2002
COM,Death rate from diabetes (age standardized),38.46,2003
COM,Death rate from diabetes (age standardized),37.19,2004
COM,Death rate from diabetes (age standardized),37.35,2005
COM,Death rate from diabetes (age standardized),36.44,2006
COM,Death rate from diabetes (age standardized),37.42,2007
COM,Death rate from diabetes (age standardized),37.74,2008
COM,Death rate from diabetes (age standardized),36.92,2009
COM,Death rate from diabetes (age standardized),36.6,2010
COM,Death rate from diabetes (age standardized),36.9,2011
COM,Death rate from diabetes (age standardized),36.99,2012
COM,Death rate from diabetes (age standardized),36.9,2013
COM,Death rate from diabetes (age standardized),37.83,2014
COM,Death rate from diabetes (age standardized),37.68,2015
COM,Death rate from diabetes (age standardized),37.49,2016
COM,Death rate from diabetes (age standardized),37.37,2017
COM,Death rate from diabetes (age standardized),36.98,2018
COM,Death rate from diabetes (age standardized),36.91,2019
COG,Death rate from diabetes (age standardized),59.86,1990
COG,Death rate from diabetes (age standardized),59.11,1991
COG,Death rate from diabetes (age standardized),58.64,1992
COG,Death rate from diabetes (age standardized),58.8,1993
COG,Death rate from diabetes (age standardized),60.12,1994
COG,Death rate from diabetes (age standardized),60.94,1995
COG,Death rate from diabetes (age standardized),61.74,1996
COG,Death rate from diabetes (age standardized),61.93,1997
COG,Death rate from diabetes (age standardized),60.7,1998
COG,Death rate from diabetes (age standardized),60.24,1999
COG,Death rate from diabetes (age standardized),59.05,2000
COG,Death rate from diabetes (age standardized),57.29,2001
COG,Death rate from diabetes (age standardized),55.89,2002
COG,Death rate from diabetes (age standardized),56.05,2003
COG,Death rate from diabetes (age standardized),55.79,2004
COG,Death rate from diabetes (age standardized),55.26,2005
COG,Death rate from diabetes (age standardized),54.95,2006
COG,Death rate from diabetes (age standardized),54.66,2007
COG,Death rate from diabetes (age standardized),54.53,2008
COG,Death rate from diabetes (age standardized),54.07,2009
COG,Death rate from diabetes (age standardized),53.73,2010
COG,Death rate from diabetes (age standardized),53.5,2011
COG,Death rate from diabetes (age standardized),53.84,2012
COG,Death rate from diabetes (age standardized),53.96,2013
COG,Death rate from diabetes (age standardized),53.9,2014
COG,Death rate from diabetes (age standardized),53.75,2015
COG,Death rate from diabetes (age standardized),53.23,2016
COG,Death rate from diabetes (age standardized),53.09,2017
COG,Death rate from diabetes (age standardized),53.34,2018
COG,Death rate from diabetes (age standardized),53.42,2019
COK,Death rate from diabetes (age standardized),123.64,1990
COK,Death rate from diabetes (age standardized),123.73,1991
COK,Death rate from diabetes (age standardized),124.14,1992
COK,Death rate from diabetes (age standardized),124.44,1993
COK,Death rate from diabetes (age standardized),125.13,1994
COK,Death rate from diabetes (age standardized),125.86,1995
COK,Death rate from diabetes (age standardized),126.6,1996
COK,Death rate from diabetes (age standardized),127.37,1997
COK,Death rate from diabetes (age standardized),128.13,1998
COK,Death rate from diabetes (age standardized),128.89,1999
COK,Death rate from diabetes (age standardized),130.09,2000
COK,Death rate from diabetes (age standardized),128.93,2001
COK,Death rate from diabetes (age standardized),129.03,2002
COK,Death rate from diabetes (age standardized),131.74,2003
COK,Death rate from diabetes (age standardized),133.25,2004
COK,Death rate from diabetes (age standardized),132.83,2005
COK,Death rate from diabetes (age standardized),127.35,2006
COK,Death rate from diabetes (age standardized),124.9,2007
COK,Death rate from diabetes (age standardized),120.89,2008
COK,Death rate from diabetes (age standardized),118.09,2009
COK,Death rate from diabetes (age standardized),117.03,2010
COK,Death rate from diabetes (age standardized),116.95,2011
COK,Death rate from diabetes (age standardized),114.87,2012
COK,Death rate from diabetes (age standardized),111.44,2013
COK,Death rate from diabetes (age standardized),110.4,2014
COK,Death rate from diabetes (age standardized),110.29,2015
COK,Death rate from diabetes (age standardized),110.59,2016
COK,Death rate from diabetes (age standardized),110.83,2017
COK,Death rate from diabetes (age standardized),111.33,2018
COK,Death rate from diabetes (age standardized),111.71,2019
CRI,Death rate from diabetes (age standardized),15.65,1990
CRI,Death rate from diabetes (age standardized),16.03,1991
CRI,Death rate from diabetes (age standardized),16.02,1992
CRI,Death rate from diabetes (age standardized),15.53,1993
CRI,Death rate from diabetes (age standardized),16.05,1994
CRI,Death rate from diabetes (age standardized),16.91,1995
CRI,Death rate from diabetes (age standardized),15.88,1996
CRI,Death rate from diabetes (age standardized),14.53,1997
CRI,Death rate from diabetes (age standardized),14.13,1998
CRI,Death rate from diabetes (age standardized),13.95,1999
CRI,Death rate from diabetes (age standardized),13.31,2000
CRI,Death rate from diabetes (age standardized),13.36,2001
CRI,Death rate from diabetes (age standardized),12.57,2002
CRI,Death rate from diabetes (age standardized),13.45,2003
CRI,Death rate from diabetes (age standardized),13.22,2004
CRI,Death rate from diabetes (age standardized),11.61,2005
CRI,Death rate from diabetes (age standardized),11.29,2006
CRI,Death rate from diabetes (age standardized),9.58,2007
CRI,Death rate from diabetes (age standardized),9.49,2008
CRI,Death rate from diabetes (age standardized),8.93,2009
CRI,Death rate from diabetes (age standardized),9.69,2010
CRI,Death rate from diabetes (age standardized),9.03,2011
CRI,Death rate from diabetes (age standardized),8.89,2012
CRI,Death rate from diabetes (age standardized),9.15,2013
CRI,Death rate from diabetes (age standardized),9.43,2014
CRI,Death rate from diabetes (age standardized),10.47,2015
CRI,Death rate from diabetes (age standardized),11.47,2016
CRI,Death rate from diabetes (age standardized),11.3,2017
CRI,Death rate from diabetes (age standardized),11.35,2018
CRI,Death rate from diabetes (age standardized),11.3,2019
CIV,Death rate from diabetes (age standardized),34.36,1990
CIV,Death rate from diabetes (age standardized),35.23,1991
CIV,Death rate from diabetes (age standardized),36.48,1992
CIV,Death rate from diabetes (age standardized),37.92,1993
CIV,Death rate from diabetes (age standardized),39.34,1994
CIV,Death rate from diabetes (age standardized),40.9,1995
CIV,Death rate from diabetes (age standardized),42.09,1996
CIV,Death rate from diabetes (age standardized),43.06,1997
CIV,Death rate from diabetes (age standardized),44.24,1998
CIV,Death rate from diabetes (age standardized),45.24,1999
CIV,Death rate from diabetes (age standardized),46.37,2000
CIV,Death rate from diabetes (age standardized),46.26,2001
CIV,Death rate from diabetes (age standardized),46.61,2002
CIV,Death rate from diabetes (age standardized),46.3,2003
CIV,Death rate from diabetes (age standardized),46.19,2004
CIV,Death rate from diabetes (age standardized),45.73,2005
CIV,Death rate from diabetes (age standardized),45.52,2006
CIV,Death rate from diabetes (age standardized),44.53,2007
CIV,Death rate from diabetes (age standardized),44.18,2008
CIV,Death rate from diabetes (age standardized),43.92,2009
CIV,Death rate from diabetes (age standardized),43.76,2010
CIV,Death rate from diabetes (age standardized),43.54,2011
CIV,Death rate from diabetes (age standardized),43.38,2012
CIV,Death rate from diabetes (age standardized),43.5,2013
CIV,Death rate from diabetes (age standardized),42.88,2014
CIV,Death rate from diabetes (age standardized),42.6,2015
CIV,Death rate from diabetes (age standardized),41.25,2016
CIV,Death rate from diabetes (age standardized),40.61,2017
CIV,Death rate from diabetes (age standardized),40.76,2018
CIV,Death rate from diabetes (age standardized),40.15,2019
HRV,Death rate from diabetes (age standardized),13.01,1990
HRV,Death rate from diabetes (age standardized),13.46,1991
HRV,Death rate from diabetes (age standardized),14.35,1992
HRV,Death rate from diabetes (age standardized),14.75,1993
HRV,Death rate from diabetes (age standardized),15.2,1994
HRV,Death rate from diabetes (age standardized),15.64,1995
HRV,Death rate from diabetes (age standardized),16.14,1996
HRV,Death rate from diabetes (age standardized),16.55,1997
HRV,Death rate from diabetes (age standardized),15.95,1998
HRV,Death rate from diabetes (age standardized),14.98,1999
HRV,Death rate from diabetes (age standardized),13.92,2000
HRV,Death rate from diabetes (age standardized),13.33,2001
HRV,Death rate from diabetes (age standardized),13.5,2002
HRV,Death rate from diabetes (age standardized),13.8,2003
HRV,Death rate from diabetes (age standardized),13.34,2004
HRV,Death rate from diabetes (age standardized),13.63,2005
HRV,Death rate from diabetes (age standardized),13.56,2006
HRV,Death rate from diabetes (age standardized),14.04,2007
HRV,Death rate from diabetes (age standardized),14.03,2008
HRV,Death rate from diabetes (age standardized),13.33,2009
HRV,Death rate from diabetes (age standardized),13.11,2010
HRV,Death rate from diabetes (age standardized),12.56,2011
HRV,Death rate from diabetes (age standardized),12.31,2012
HRV,Death rate from diabetes (age standardized),11.81,2013
HRV,Death rate from diabetes (age standardized),12.04,2014
HRV,Death rate from diabetes (age standardized),12.85,2015
HRV,Death rate from diabetes (age standardized),12.38,2016
HRV,Death rate from diabetes (age standardized),12.13,2017
HRV,Death rate from diabetes (age standardized),11.97,2018
HRV,Death rate from diabetes (age standardized),11.92,2019
CUB,Death rate from diabetes (age standardized),22.45,1990
CUB,Death rate from diabetes (age standardized),22.41,1991
CUB,Death rate from diabetes (age standardized),22.81,1992
CUB,Death rate from diabetes (age standardized),22.59,1993
CUB,Death rate from diabetes (age standardized),21.74,1994
CUB,Death rate from diabetes (age standardized),20.79,1995
CUB,Death rate from diabetes (age standardized),19.31,1996
CUB,Death rate from diabetes (age standardized),16.96,1997
CUB,Death rate from diabetes (age standardized),15.08,1998
CUB,Death rate from diabetes (age standardized),13.34,1999
CUB,Death rate from diabetes (age standardized),11.85,2000
CUB,Death rate from diabetes (age standardized),10.73,2001
CUB,Death rate from diabetes (age standardized),9.64,2002
CUB,Death rate from diabetes (age standardized),9.81,2003
CUB,Death rate from diabetes (age standardized),10.08,2004
CUB,Death rate from diabetes (age standardized),10.51,2005
CUB,Death rate from diabetes (age standardized),10.26,2006
CUB,Death rate from diabetes (age standardized),10.44,2007
CUB,Death rate from diabetes (age standardized),10.74,2008
CUB,Death rate from diabetes (age standardized),10.89,2009
CUB,Death rate from diabetes (age standardized),11.0,2010
CUB,Death rate from diabetes (age standardized),10.16,2011
CUB,Death rate from diabetes (age standardized),10.14,2012
CUB,Death rate from diabetes (age standardized),10.04,2013
CUB,Death rate from diabetes (age standardized),9.92,2014
CUB,Death rate from diabetes (age standardized),10.12,2015
CUB,Death rate from diabetes (age standardized),10.05,2016
CUB,Death rate from diabetes (age standardized),10.54,2017
CUB,Death rate from diabetes (age standardized),10.68,2018
CUB,Death rate from diabetes (age standardized),10.39,2019
CYP,Death rate from diabetes (age standardized),65.62,1990
CYP,Death rate from diabetes (age standardized),67.36,1991
CYP,Death rate from diabetes (age standardized),69.6,1992
CYP,Death rate from diabetes (age standardized),70.13,1993
CYP,Death rate from diabetes (age standardized),68.38,1994
CYP,Death rate from diabetes (age standardized),66.38,1995
CYP,Death rate from diabetes (age standardized),63.33,1996
CYP,Death rate from diabetes (age standardized),61.38,1997
CYP,Death rate from diabetes (age standardized),60.66,1998
CYP,Death rate from diabetes (age standardized),59.29,1999
CYP,Death rate from diabetes (age standardized),56.08,2000
CYP,Death rate from diabetes (age standardized),53.13,2001
CYP,Death rate from diabetes (age standardized),51.18,2002
CYP,Death rate from diabetes (age standardized),49.25,2003
CYP,Death rate from diabetes (age standardized),47.96,2004
CYP,Death rate from diabetes (age standardized),46.84,2005
CYP,Death rate from diabetes (age standardized),46.1,2006
CYP,Death rate from diabetes (age standardized),44.6,2007
CYP,Death rate from diabetes (age standardized),42.17,2008
CYP,Death rate from diabetes (age standardized),39.7,2009
CYP,Death rate from diabetes (age standardized),38.22,2010
CYP,Death rate from diabetes (age standardized),36.43,2011
CYP,Death rate from diabetes (age standardized),34.8,2012
CYP,Death rate from diabetes (age standardized),33.43,2013
CYP,Death rate from diabetes (age standardized),32.47,2014
CYP,Death rate from diabetes (age standardized),31.4,2015
CYP,Death rate from diabetes (age standardized),29.68,2016
CYP,Death rate from diabetes (age standardized),28.46,2017
CYP,Death rate from diabetes (age standardized),27.82,2018
CYP,Death rate from diabetes (age standardized),27.51,2019
CZE,Death rate from diabetes (age standardized),13.91,1990
CZE,Death rate from diabetes (age standardized),12.38,1991
CZE,Death rate from diabetes (age standardized),11.1,1992
CZE,Death rate from diabetes (age standardized),9.96,1993
CZE,Death rate from diabetes (age standardized),8.92,1994
CZE,Death rate from diabetes (age standardized),8.09,1995
CZE,Death rate from diabetes (age standardized),7.41,1996
CZE,Death rate from diabetes (age standardized),7.55,1997
CZE,Death rate from diabetes (age standardized),7.71,1998
CZE,Death rate from diabetes (age standardized),7.61,1999
CZE,Death rate from diabetes (age standardized),7.96,2000
CZE,Death rate from diabetes (age standardized),8.17,2001
CZE,Death rate from diabetes (age standardized),8.3,2002
CZE,Death rate from diabetes (age standardized),8.97,2003
CZE,Death rate from diabetes (age standardized),8.97,2004
CZE,Death rate from diabetes (age standardized),9.42,2005
CZE,Death rate from diabetes (age standardized),9.76,2006
CZE,Death rate from diabetes (age standardized),10.66,2007
CZE,Death rate from diabetes (age standardized),11.16,2008
CZE,Death rate from diabetes (age standardized),11.56,2009
CZE,Death rate from diabetes (age standardized),12.13,2010
CZE,Death rate from diabetes (age standardized),13.13,2011
CZE,Death rate from diabetes (age standardized),13.9,2012
CZE,Death rate from diabetes (age standardized),15.23,2013
CZE,Death rate from diabetes (age standardized),15.7,2014
CZE,Death rate from diabetes (age standardized),16.49,2015
CZE,Death rate from diabetes (age standardized),16.73,2016
CZE,Death rate from diabetes (age standardized),16.61,2017
CZE,Death rate from diabetes (age standardized),16.08,2018
CZE,Death rate from diabetes (age standardized),15.47,2019
COD,Death rate from diabetes (age standardized),43.42,1990
COD,Death rate from diabetes (age standardized),43.29,1991
COD,Death rate from diabetes (age standardized),42.94,1992
COD,Death rate from diabetes (age standardized),42.27,1993
COD,Death rate from diabetes (age standardized),42.06,1994
COD,Death rate from diabetes (age standardized),42.07,1995
COD,Death rate from diabetes (age standardized),42.58,1996
COD,Death rate from diabetes (age standardized),41.49,1997
COD,Death rate from diabetes (age standardized),41.26,1998
COD,Death rate from diabetes (age standardized),40.86,1999
COD,Death rate from diabetes (age standardized),40.62,2000
COD,Death rate from diabetes (age standardized),40.25,2001
COD,Death rate from diabetes (age standardized),39.51,2002
COD,Death rate from diabetes (age standardized),39.77,2003
COD,Death rate from diabetes (age standardized),39.25,2004
COD,Death rate from diabetes (age standardized),38.6,2005
COD,Death rate from diabetes (age standardized),38.27,2006
COD,Death rate from diabetes (age standardized),37.83,2007
COD,Death rate from diabetes (age standardized),37.84,2008
COD,Death rate from diabetes (age standardized),37.64,2009
COD,Death rate from diabetes (age standardized),37.45,2010
COD,Death rate from diabetes (age standardized),37.51,2011
COD,Death rate from diabetes (age standardized),37.4,2012
COD,Death rate from diabetes (age standardized),37.1,2013
COD,Death rate from diabetes (age standardized),36.67,2014
COD,Death rate from diabetes (age standardized),36.2,2015
COD,Death rate from diabetes (age standardized),35.84,2016
COD,Death rate from diabetes (age standardized),35.76,2017
COD,Death rate from diabetes (age standardized),36.17,2018
COD,Death rate from diabetes (age standardized),36.32,2019
DNK,Death rate from diabetes (age standardized),10.92,1990
DNK,Death rate from diabetes (age standardized),10.81,1991
DNK,Death rate from diabetes (age standardized),10.96,1992
DNK,Death rate from diabetes (age standardized),11.19,1993
DNK,Death rate from diabetes (age standardized),10.99,1994
DNK,Death rate from diabetes (age standardized),10.92,1995
DNK,Death rate from diabetes (age standardized),10.87,1996
DNK,Death rate from diabetes (age standardized),11.85,1997
DNK,Death rate from diabetes (age standardized),12.52,1998
DNK,Death rate from diabetes (age standardized),13.67,1999
DNK,Death rate from diabetes (age standardized),14.03,2000
DNK,Death rate from diabetes (age standardized),14.67,2001
DNK,Death rate from diabetes (age standardized),15.4,2002
DNK,Death rate from diabetes (age standardized),15.32,2003
DNK,Death rate from diabetes (age standardized),15.05,2004
DNK,Death rate from diabetes (age standardized),14.79,2005
DNK,Death rate from diabetes (age standardized),14.81,2006
DNK,Death rate from diabetes (age standardized),14.8,2007
DNK,Death rate from diabetes (age standardized),14.44,2008
DNK,Death rate from diabetes (age standardized),14.23,2009
DNK,Death rate from diabetes (age standardized),13.69,2010
DNK,Death rate from diabetes (age standardized),13.22,2011
DNK,Death rate from diabetes (age standardized),12.83,2012
DNK,Death rate from diabetes (age standardized),12.54,2013
DNK,Death rate from diabetes (age standardized),12.13,2014
DNK,Death rate from diabetes (age standardized),11.93,2015
DNK,Death rate from diabetes (age standardized),11.89,2016
DNK,Death rate from diabetes (age standardized),11.86,2017
DNK,Death rate from diabetes (age standardized),11.81,2018
DNK,Death rate from diabetes (age standardized),11.76,2019
DJI,Death rate from diabetes (age standardized),35.15,1990
DJI,Death rate from diabetes (age standardized),35.47,1991
DJI,Death rate from diabetes (age standardized),35.88,1992
DJI,Death rate from diabetes (age standardized),36.33,1993
DJI,Death rate from diabetes (age standardized),36.17,1994
DJI,Death rate from diabetes (age standardized),37.01,1995
DJI,Death rate from diabetes (age standardized),37.46,1996
DJI,Death rate from diabetes (age standardized),37.71,1997
DJI,Death rate from diabetes (age standardized),38.5,1998
DJI,Death rate from diabetes (age standardized),38.85,1999
DJI,Death rate from diabetes (age standardized),39.02,2000
DJI,Death rate from diabetes (age standardized),39.16,2001
DJI,Death rate from diabetes (age standardized),39.64,2002
DJI,Death rate from diabetes (age standardized),39.81,2003
DJI,Death rate from diabetes (age standardized),40.96,2004
DJI,Death rate from diabetes (age standardized),41.43,2005
DJI,Death rate from diabetes (age standardized),41.63,2006
DJI,Death rate from diabetes (age standardized),41.92,2007
DJI,Death rate from diabetes (age standardized),42.17,2008
DJI,Death rate from diabetes (age standardized),42.26,2009
DJI,Death rate from diabetes (age standardized),42.8,2010
DJI,Death rate from diabetes (age standardized),42.9,2011
DJI,Death rate from diabetes (age standardized),43.05,2012
DJI,Death rate from diabetes (age standardized),43.13,2013
DJI,Death rate from diabetes (age standardized),42.72,2014
DJI,Death rate from diabetes (age standardized),42.86,2015
DJI,Death rate from diabetes (age standardized),42.81,2016
DJI,Death rate from diabetes (age standardized),43.04,2017
DJI,Death rate from diabetes (age standardized),43.45,2018
DJI,Death rate from diabetes (age standardized),43.67,2019
DMA,Death rate from diabetes (age standardized),69.13,1990
DMA,Death rate from diabetes (age standardized),71.09,1991
DMA,Death rate from diabetes (age standardized),69.66,1992
DMA,Death rate from diabetes (age standardized),70.04,1993
DMA,Death rate from diabetes (age standardized),71.37,1994
DMA,Death rate from diabetes (age standardized),72.41,1995
DMA,Death rate from diabetes (age standardized),72.87,1996
DMA,Death rate from diabetes (age standardized),72.26,1997
DMA,Death rate from diabetes (age standardized),71.79,1998
DMA,Death rate from diabetes (age standardized),73.37,1999
DMA,Death rate from diabetes (age standardized),73.29,2000
DMA,Death rate from diabetes (age standardized),72.15,2001
DMA,Death rate from diabetes (age standardized),72.02,2002
DMA,Death rate from diabetes (age standardized),71.78,2003
DMA,Death rate from diabetes (age standardized),70.28,2004
DMA,Death rate from diabetes (age standardized),68.91,2005
DMA,Death rate from diabetes (age standardized),68.21,2006
DMA,Death rate from diabetes (age standardized),67.35,2007
DMA,Death rate from diabetes (age standardized),66.48,2008
DMA,Death rate from diabetes (age standardized),65.81,2009
DMA,Death rate from diabetes (age standardized),65.64,2010
DMA,Death rate from diabetes (age standardized),65.54,2011
DMA,Death rate from diabetes (age standardized),65.25,2012
DMA,Death rate from diabetes (age standardized),64.51,2013
DMA,Death rate from diabetes (age standardized),63.7,2014
DMA,Death rate from diabetes (age standardized),63.27,2015
DMA,Death rate from diabetes (age standardized),62.9,2016
DMA,Death rate from diabetes (age standardized),62.99,2017
DMA,Death rate from diabetes (age standardized),63.25,2018
DMA,Death rate from diabetes (age standardized),63.34,2019
DOM,Death rate from diabetes (age standardized),23.13,1990
DOM,Death rate from diabetes (age standardized),22.54,1991
DOM,Death rate from diabetes (age standardized),22.06,1992
DOM,Death rate from diabetes (age standardized),22.37,1993
DOM,Death rate from diabetes (age standardized),21.98,1994
DOM,Death rate from diabetes (age standardized),22.09,1995
DOM,Death rate from diabetes (age standardized),22.95,1996
DOM,Death rate from diabetes (age standardized),23.85,1997
DOM,Death rate from diabetes (age standardized),24.31,1998
DOM,Death rate from diabetes (age standardized),24.41,1999
DOM,Death rate from diabetes (age standardized),24.06,2000
DOM,Death rate from diabetes (age standardized),24.19,2001
DOM,Death rate from diabetes (age standardized),24.58,2002
DOM,Death rate from diabetes (age standardized),26.1,2003
DOM,Death rate from diabetes (age standardized),28.12,2004
DOM,Death rate from diabetes (age standardized),29.33,2005
DOM,Death rate from diabetes (age standardized),29.65,2006
DOM,Death rate from diabetes (age standardized),29.51,2007
DOM,Death rate from diabetes (age standardized),29.19,2008
DOM,Death rate from diabetes (age standardized),28.98,2009
DOM,Death rate from diabetes (age standardized),28.75,2010
DOM,Death rate from diabetes (age standardized),28.55,2011
DOM,Death rate from diabetes (age standardized),29.81,2012
DOM,Death rate from diabetes (age standardized),31.58,2013
DOM,Death rate from diabetes (age standardized),32.8,2014
DOM,Death rate from diabetes (age standardized),33.85,2015
DOM,Death rate from diabetes (age standardized),34.04,2016
DOM,Death rate from diabetes (age standardized),33.49,2017
DOM,Death rate from diabetes (age standardized),33.01,2018
DOM,Death rate from diabetes (age standardized),32.59,2019
,Death rate from diabetes (age standardized),14.59,1990
,Death rate from diabetes (age standardized),14.48,1991
,Death rate from diabetes (age standardized),14.5,1992
,Death rate from diabetes (age standardized),14.57,1993
,Death rate from diabetes (age standardized),14.58,1994
,Death rate from diabetes (age standardized),14.58,1995
,Death rate from diabetes (age standardized),14.64,1996
,Death rate from diabetes (age standardized),14.59,1997
,Death rate from diabetes (age standardized),14.69,1998
